cohort_month,months_since_first,order_margin,cohort_customers,cum_margin_per_customer
2016-09,0,136.03000000000003,2,68.01500000000001
2016-10,0,37660.08,287,131.21979094076656
2016-10,6,37748.76,287,131.52878048780488
2016-10,9,38070.630000000005,287,132.6502787456446
2016-10,11,38111.85,287,132.79390243902438
2016-10,13,38178.72,287,133.02689895470382
2016-10,15,38394.92,287,133.78020905923344
2016-10,17,38474.35,287,134.056968641115
2016-10,19,38668.9,287,134.73484320557492
2016-10,20,38804.310000000005,287,135.20665505226484
2016-12,0,2.1799999999999997,1,2.1799999999999997
2016-12,1,4.359999999999999,1,4.359999999999999
2017-01,0,103250.9,752,137.30172872340424
2017-01,1,103329.90999999999,752,137.40679521276596
2017-01,2,103380.98999999999,752,137.47472074468084
2017-01,3,103441.29,752,137.55490691489362
2017-01,4,103594.43999999999,752,137.75856382978722
2017-01,5,103645.09,752,137.8259175531915
2017-01,6,103942.56,752,138.2214893617021
2017-01,7,103996.98999999999,752,138.29386968085106
2017-01,8,104001.73999999999,752,138.30018617021275
2017-01,10,104320.89,752,138.72458776595744
2017-01,11,104352.29,752,138.76634308510637
2017-01,12,104712.12,752,139.24484042553192
2017-01,13,104958.06999999999,752,139.57190159574466
2017-01,14,104960.37,752,139.57496010638297
2017-01,15,105035.56,752,139.67494680851064
2017-01,16,105144.01,752,139.81916223404255
2017-01,17,105429.15999999999,752,140.19835106382976
2017-01,19,105454.23,752,140.23168882978723
2017-02,0,206278.0,1690,122.05798816568047
2017-02,1,206698.64,1690,122.3068875739645
2017-02,2,207097.01,1690,122.54260946745563
2017-02,3,207156.78,1690,122.57797633136094
2017-02,4,207961.26,1690,123.054
2017-02,5,207987.03,1690,123.06924852071006
2017-02,6,208465.89,1690,123.3525976331361
2017-02,7,208661.37,1690,123.46826627218934
2017-02,8,209062.36,1690,123.70553846153845
2017-02,9,209248.53,1690,123.81569822485207
2017-02,10,209543.11,1690,123.99000591715975
2017-02,11,209854.28,1690,124.1741301775148
2017-02,12,210069.04,1690,124.30120710059172
2017-02,13,210231.53,1690,124.3973550295858
2017-02,14,210337.47,1690,124.46004142011834
2017-02,15,210434.68,1690,124.51756213017751
2017-02,16,210646.6,1690,124.64295857988166
2017-02,17,210989.16,1690,124.84565680473374
2017-03,0,310592.96,2571,120.80628549202646
2017-03,1,311785.71,2571,121.27021003500585
2017-03,2,312953.07,2571,121.72425904317386
2017-03,3,314407.07,2571,122.28979774406847
2017-03,4,315171.76,2571,122.58722676001557
2017-03,5,316352.35000000003,2571,123.04642162582654
2017-03,6,316850.53,2571,123.24019058732011
2017-03,7,317438.47000000003,2571,123.46887203422794
2017-03,8,318446.76,2571,123.86105017502918
2017-03,9,318621.78,2571,123.92912485414237
2017-03,10,319438.72000000003,2571,124.24687670167252
2017-03,11,319670.5,2571,124.33702839362115
2017-03,12,320333.29000000004,2571,124.59482302605991
2017-03,13,320432.49000000005,2571,124.6334072345391
2017-03,14,320980.48000000004,2571,124.84654998055233
2017-03,15,321480.13,2571,125.04089070400623
2017-03,16,321586.03,2571,125.08208090237262
2017-03,17,321884.56,2571,125.19819525476468
2017-04,0,300097.25,2325,129.07408602150537
2017-04,1,302437.31,2325,130.0805634408602
2017-04,2,303097.67,2325,130.3645892473118
2017-04,3,303681.02,2325,130.61549247311828
2017-04,4,304812.94,2325,131.10233978494622
2017-04,5,305697.36,2325,131.48273548387095
2017-04,6,307278.9,2325,132.1629677419355
2017-04,7,308050.05,2325,132.49464516129032
2017-04,8,308805.22,2325,132.81944946236558
2017-04,9,309184.38,2325,132.98252903225807
2017-04,10,309623.96,2325,133.17159569892473
2017-04,11,309809.79,2325,133.25152258064514
2017-04,12,310218.93,2325,133.42749677419354
2017-04,13,310451.29,2325,133.52743655913977
2017-04,14,310665.06,2325,133.6193806451613
2017-04,15,310815.93,2325,133.68427096774192
2017-04,16,311643.1,2325,134.04004301075267
2017-05,0,419887.21,3541,118.57870940412313
2017-05,1,420994.44,3541,118.89139791019485
2017-05,2,423025.75,3541,119.46505224512849
2017-05,3,424137.80000000005,3541,119.7791019486021
2017-05,4,425044.19,3541,120.03507201355549
2017-05,5,426098.04000000004,3541,120.33268568201075
2017-05,6,428438.13,3541,120.99354137249365
2017-05,7,428913.11000000004,3541,121.12767862185825
2017-05,8,430054.73000000004,3541,121.450079073708
2017-05,9,430820.57,3541,121.66635696131037
2017-05,10,431729.19,3541,121.92295679186671
2017-05,11,432605.35000000003,3541,122.17038972041797
2017-05,12,433410.97000000003,3541,122.39790172267722
2017-05,13,433442.44,3541,122.40678904264333
2017-05,14,433912.36000000004,3541,122.53949731714206
2017-05,15,434287.78,3541,122.64551821519346
2017-06,0,356104.26,3102,114.79827852998066
2017-06,1,357333.57,3102,115.19457446808511
2017-06,2,358619.51,3102,115.60912637008381
2017-06,3,359663.69,3102,115.94574145712444
2017-06,4,360688.38,3102,116.27607350096712
2017-06,5,361903.89,3102,116.66792069632496
2017-06,6,362793.82,3102,116.95480980012896
2017-06,7,363297.06,3102,117.11704061895551
2017-06,8,363502.2,3102,117.18317214700194
2017-06,9,363772.84,3102,117.27041908446165
2017-06,10,365652.95,3102,117.87651515151515
2017-06,11,367171.41000000003,3102,118.36602514506771
2017-06,12,367435.59,3102,118.45118955512574
2017-06,13,368160.56,3102,118.68490006447453
2017-06,14,370187.05,3102,119.33818504190845
2017-07,0,400567.1,3822,104.80562532705389
2017-07,1,402701.5,3822,105.36407639979069
2017-07,2,403531.41,3822,105.58121664050235
2017-07,3,404385.41,3822,105.80465986394557
2017-07,4,404989.52999999997,3822,105.96272370486655
2017-07,5,406430.83999999997,3822,106.33983254840396
2017-07,6,408348.56999999995,3822,106.84159340659339
