product,train_positives,train_n,test_positives,test_n,test_auc
ind_ctju_fin_ult1,60,1345151,9,230246,0.9996
ind_fond_fin_ult1,456,1332525,14,228453,0.9458
ind_ctma_fin_ult1,804,1344444,119,229897,0.9393
ind_ctpp_fin_ult1,259,1297032,38,223800,0.932
ind_nomina_ult1,8059,1283421,1178,220510,0.9283
ind_nom_pens_ult1,9361,1277137,1248,219468,0.9268
ind_tjcr_fin_ult1,7532,1295815,1065,223529,0.9114
ind_dela_fin_ult1,1612,1296052,19,223723,0.9102
ind_cno_fin_ult1,4118,1248764,578,214440,0.9044
ind_ecue_fin_ult1,2662,1244506,617,213801,0.8973
ind_valo_fin_ult1,568,1323552,43,226900,0.8835
ind_ctop_fin_ult1,432,1177037,51,206973,0.883
ind_recibo_ult1,16990,1182186,2546,204124,0.8773
ind_plan_fin_ult1,84,1346247,6,230395,0.8744
ind_reca_fin_ult1,1004,1286697,139,221063,0.854
ind_cco_fin_ult1,7661,448193,990,91421,0.8476
