category,n_items,total_price,total_freight,total_margin,avg_margin_pct,avg_freight_pct,avg_weight_g
home_comfort_2,30,760.27,410.31,349.96,0.0661,0.9339,827.9333
dvds_blu_ray,62,4559.49,1244.88,3314.61,0.1611,0.8389,460.0806
electronics,2755,157079.54,46337.23,110742.31,0.3145,0.6855,777.3543
christmas_supplies,152,8787.83,3221.36,5566.47,0.3239,0.6761,1904.8553
fashion_underwear_beach,131,9541.55,1916.19,7625.36,0.4345,0.5655,276.145
flowers,33,1110.04,488.87,621.17,0.435,0.565,1834.8485
signaling_and_security,199,21509.23,6507.82,15001.41,0.4538,0.5462,3886.7236
telephony,4527,322342.64,70963.38,251379.26,0.4937,0.5063,261.5642
food_drink,276,15119.48,4488.62,10630.86,0.5006,0.4994,1109.942
furniture_mattress_and_upholstery,38,4368.08,1630.46,2737.62,0.5112,0.4888,7557.8947
drinks,378,22378.71,5722.04,16656.67,0.5724,0.4276,1043.4921
music,38,6034.35,690.51,5343.84,0.5755,0.4245,1688.1053
costruction_tools_garden,234,25552.18,5229.71,20322.47,0.5834,0.4166,2327.6581
diapers_and_hygiene,38,1538.79,562.46,976.33,0.5846,0.4154,663.1579
housewares,6915,626825.8,145209.34,481616.46,0.5982,0.4018,3221.7932
home_appliances,769,80001.24,14770.06,65231.18,0.6028,0.3972,1913.4733
fixed_telephony,261,57824.21,4589.84,53234.37,0.61,0.39,562.3027
cine_photo,72,6933.46,1256.2,5677.26,0.6186,0.3814,1160.8611
consoles_games,1127,154927.27,19712.33,135214.94,0.6201,0.3799,449.3283
costruction_tools_tools,103,15903.95,2030.22,13873.73,0.6258,0.3742,1161.767
party_supplies,43,4485.18,827.97,3657.21,0.6315,0.3685,1997.6744
construction_tools_construction,927,144550.19,20629.5,123920.69,0.6325,0.3675,3124.8576
books_general_interest,546,45622.29,9036.4,36585.89,0.6383,0.3617,740.8993
kitchen_dining_laundry_garden_furniture,279,46070.37,11835.39,34234.98,0.6435,0.3565,8915.9534
books_technical,267,19096.06,4283.06,14813.0,0.6513,0.3487,1014.4607
food,509,29243.51,7253.27,21990.24,0.6515,0.3485,649.2908
furniture_decor,8298,727465.05,172160.99,555304.06,0.6535,0.3465,2649.1939
fashion_bags_accessories,2025,151622.75,31312.01,120310.74,0.6594,0.3406,376.9323
unknown,1589,178572.55,27951.74,150620.81,0.6637,0.3363,1650.7087
furniture_bedroom,109,20028.78,4632.23,15396.55,0.6663,0.3337,9989.2202
garden_tools,4328,481009.94,98515.26,382494.68,0.6673,0.3327,2827.4623
auto,4204,586585.73,92020.91,494564.82,0.6676,0.3324,2593.4303
audio,363,50668.6,5702.66,44965.94,0.6689,0.3311,1221.3196
furniture_living_room,501,68638.56,17918.74,50719.82,0.6738,0.3262,8104.8782
stationery,2505,229593.84,46558.34,183035.5,0.6759,0.3241,2749.9581
fashion_sport,30,2119.51,578.13,1541.38,0.678,0.322,340.0
market_place,310,28288.47,5406.06,22882.41,0.6788,0.3212,1106.8129
health_beauty,9634,1255695.13,181970.65,1073724.48,0.6989,0.3011,1049.6972
art,208,24167.64,4028.57,20139.07,0.7015,0.2985,1557.3413
pet_shop,1942,213766.63,39410.33,174356.3,0.7041,0.2959,2915.0103
computers_accessories,7781,904322.02,146619.56,757702.46,0.7049,0.2951,901.9059
sports_leisure,8590,979740.92,167503.71,812237.21,0.7059,0.2941,1733.3698
baby,3043,410312.2,68007.8,342304.4,0.7076,0.2924,3286.1088
fashion_shoes,260,23352.88,4895.53,18457.35,0.7092,0.2908,1043.4615
industry_commerce_and_business,268,39669.61,7884.68,31784.93,0.7129,0.2871,6663.653
fashio_female_clothing,48,2803.64,621.75,2181.89,0.7143,0.2857,553.125
bed_bath_table,11097,1035964.06,204422.07,831541.99,0.7158,0.2842,2118.5146
office_furniture,1690,273580.7,68492.32,205088.38,0.725,0.275,11384.8568
agro_industry_and_commerce,212,72530.47,5843.6,66686.87,0.7258,0.2742,3625.1132
perfumery,3402,396599.31,53981.16,342618.15,0.7272,0.2728,480.4306
fashion_male_clothing,131,10748.82,2144.63,8604.19,0.7322,0.2678,581.1069
home_construction,603,83010.12,13823.5,69186.62,0.7323,0.2677,3055.6202
toys,4083,479808.54,76974.75,402833.79,0.7339,0.2661,1862.6018
luggage_accessories,1088,140111.38,30392.71,109718.67,0.739,0.261,5793.386
construction_tools_lights,302,40002.0,7509.18,32492.82,0.7428,0.2572,3376.3742
small_appliances,671,187907.26,15824.24,172083.02,0.7452,0.2548,2962.93
musical_instruments,669,187788.44,18232.88,169555.56,0.7464,0.2536,3089.9327
construction_tools_safety,189,39589.02,3831.57,35757.45,0.7544,0.2456,808.5132
books_imported,60,4639.85,769.85,3870.0,0.7582,0.2418,625.8333
tablets_printing_image,83,7528.41,1226.2,6302.21,0.7774,0.2226,307.0964
cool_stuff,3779,620770.49,83315.75,537454.74,0.7795,0.2205,2540.7253
air_conditioning,295,54723.16,6713.41,48009.75,0.7881,0.2119,4107.9695
home_confort,434,58572.04,8501.23,50070.81,0.7888,0.2112,3114.4009
home_appliances_2,235,110649.74,10405.78,100243.96,0.8016,0.1984,8946.7617
watches_gifts,5970,1198185.21,100107.26,1098077.95,0.8297,0.1703,581.5635
small_appliances_home_oven_and_coffee,76,47445.71,2747.86,44697.85,0.8357,0.1643,5074.8947
computers,203,222963.13,9836.3,213126.83,0.9434,0.0566,7216.798
