customer_state,n_items,total_price,total_freight,total_margin,avg_margin_pct,avg_freight_pct
RO,277,46031.64,11392.13,34639.51,0.4045,0.5955
RR,51,7739.44,2209.53,5529.91,0.405,0.595
MA,820,119291.62,31396.34,87895.28,0.4503,0.5497
PB,600,114874.1,25649.37,89224.73,0.4873,0.5127
AC,92,15982.95,3686.75,12296.2,0.4883,0.5117
RN,529,83034.98,18860.1,64174.88,0.4937,0.5063
TO,314,49407.99,11695.86,37712.13,0.4995,0.5005
PI,539,86660.09,21105.38,65554.71,0.4998,0.5002
AM,165,22356.84,5478.89,16877.95,0.5019,0.4981
AL,444,80314.81,15914.59,64400.22,0.5255,0.4745
PA,1079,178821.12,38659.42,140161.7,0.5263,0.4737
SE,385,58920.85,14111.47,44809.38,0.5351,0.4649
PE,1801,261739.94,59278.4,202461.54,0.5494,0.4506
CE,1474,226264.06,48258.55,178005.51,0.568,0.432
BA,3785,507108.83,99799.83,407309.0,0.6045,0.3955
MT,1054,156313.53,29691.58,126621.95,0.6066,0.3934
AP,82,13474.3,2788.5,10685.8,0.6155,0.3845
RS,6211,742559.78,134730.81,607828.97,0.6456,0.3544
ES,2248,273532.13,49548.9,223983.23,0.6474,0.3526
GO,2323,287870.46,52673.91,235196.55,0.6484,0.3516
SC,4161,518578.28,89445.42,429132.86,0.6534,0.3466
PR,5719,676883.06,117313.55,559569.51,0.6544,0.3456
DF,2397,300886.45,50440.76,250445.69,0.6561,0.3439
MS,818,116754.65,19121.04,97633.61,0.6601,0.3399
MG,13071,1573508.2,269566.23,1303941.97,0.6692,0.3308
RJ,14509,1811623.42,304044.14,1507579.28,0.6723,0.3277
SP,47153,5163867.22,714264.84,4449602.38,0.7349,0.2651
