origin,mql_count,won_count,activated_count,median_gmv_if_activated,mean_gmv_if_activated,total_gmv,win_rate,activation_rate_of_won,gmv_per_mql,win_rate_norm,activation_rate_of_won_norm,gmv_per_mql_norm,channel_value_score
unknown,1159,193,85,491.94,2526.1918,214726.3,0.1665,0.4404,185.2686,1.0,0.7956,1.0,0.9319
paid_search,1586,195,101,512.0,1512.8421,152797.05,0.123,0.5179,96.3411,0.6885,0.9356,0.52,0.7147
organic_search,2296,271,112,640.75,1848.1746,206995.55,0.118,0.4133,90.1549,0.6533,0.7466,0.4866,0.6288
direct_traffic,499,56,31,399.0,705.9581,21884.7,0.1122,0.5536,43.8571,0.6118,1.0,0.2367,0.6162
referral,284,24,9,1368.5,1987.4611,17887.15,0.0845,0.375,62.9829,0.4136,0.6774,0.34,0.477
other,150,4,2,3444.325,3444.325,6888.65,0.0267,0.5,45.9243,0.0,0.9032,0.2479,0.3837
social,1350,75,31,722.2,1400.5806,43418.0,0.0556,0.4133,32.1615,0.2066,0.7467,0.1736,0.3756
email,493,15,6,338.2,1414.165,8484.99,0.0304,0.4,17.2109,0.0269,0.7226,0.0929,0.2808
display,118,6,2,461.5,461.5,923.0,0.0508,0.3333,7.822,0.1729,0.6022,0.0422,0.2724
other_publicities,65,3,0,0.0,0.0,0.0,0.0462,0.0,0.0,0.1393,0.0,0.0,0.0464
